SubjectID,pt_cond,emot_cond,exper,mainfeel_1,mainfeel_2,mainfeel_3,main_expl,mainfeel_prob,mainfeel_prob_comment,happy,shocked,hopeful,angry,compass,interest,disgust,mad,curious,afraid,grateful,proud,surprise,amused,down,worried,frustrated,sad,embarrass,guilt,selfanger,symp,melfeel_1,melfeel_2,melfeel_3,melexpl,mhappy,mshocked,mhope,mangry,mselfanger,minterest,mdisgust,mmad,mcurious,mafraid,mgrateful,mproud,msurprise,mamused,mdown,mworried,mfrustrate,msad,membarrass,mguilty,pleas,selfag,targag,otherag,sitag,mixag,selfpow,targpow,othpow,noonepow,sitcont,immoral,m_pleas,m_selfag,m_otherag,m_sitag,m_mixag,m_selfpow,m_otherpow,m_noonepow,m_sitpow,m_immoral,iri_1,iri_2,iri_3,iri_4,iri_5,iri_6,iri_10,iri_11,iri_15,iri_29,iri_30,iri_32,iri_33,iri_34,iri2_19,iri2_22,iri2_23,iri2_24,iri2_25,iri2_28,iri2_35,iri2_36,iri2_37,iri2_38,iri2_39,iri2_40,iri2_41,iri2_42,ssc,ideol,age,female,black,asian,latino,white,other,mideast,natam,pacisl,mom_ed,dad_ed,expcomment,language,inattentionORsuspicion,minorproblem
232,1,2,Blake,sympathetic/empathetic,angry,apologetic,I felt very bad for the participant as she had missed a very important event with her longtime best friend and the whole plan failed because the trust that she put into her other friend had failed as well. I know that if someone made me miss something that important I would feel enraged at that person. ,0,,1,4,1,4,5,1,4,4,2,1,1,1,2,1,2,2,3,2,1,1,1,5,enraged,upset,disappointed,For the first two emotions; the writer clearly stated what she had felt after what had happened as she was fuming and extremely upset about the whole ordeal. I also feel like she was disappointed in her guy friend as he had lied to her about the car. It was because of his careless mistake that she missed out on her friend's bachelorette  party and there's nothing that can be done to change that.,1,3,1,5,2,1,5,5,1,1,1,1,2,1,4,2,5,4,1,2,4,2,1,5,1,1,3,2,5,1,1,4,5,1,5,1,1,2,5,1,1,5,5,4,1,1,4,3,4,3,2,2,4,4,4,2,4,2,4,4,4,3,2,4,2,4,4,2,4,2,20,6,18,0,0,1,0,0,0,0,0,0,2,7,Objectivity: Reminded himself he didn't care; but it got harder as he went on,0,0,0
233,1,1,Blake,A little sad ,pensive ,imaginative ,I feel bad for the girl because she missed her best friends bachelorette party; and I am thinking of ways that the situation could have been fixed/imagining different scenarios that could have played out had the car not broke down. ,0,,3,1,2,1,4,3,1,1,4,1,1,1,1,1,2,1,1,3,1,1,1,4,sad ,angry ,regretful ,,1,4,5,4,4,3,2,4,2,2,1,2,3,2,4,5,4,5,2,3,3,1,3,5,3,3,1,4,5,1,1,1,5,5,4,2,3,3,4,2,2,1,4,5,1,2,3,2,4,4,2,1,5,4,5,2,2,4,4,5,5,4,2,4,1,4,4,3,4,2,18,5,18,1,0,0,0,1,0,0,0,0,7,3,Objectivity: Reminded herself she didn't know the person and it didn't affect her; but it was difficult especially when she read the line about Melissa tearing up,0,0,0
234,1,2,Blake,Sympathy ,Anger,Disappointment,Sympathy with the author; anger at the friend; and disappointment at the story as a whole.,0,,1,2,1,3,2,1,1,2,2,1,1,1,1,2,1,1,2,2,1,1,1,5,Anger,Disappointment,Frustration,,1,3,1,5,2,3,1,5,1,1,1,1,4,1,3,1,5,3,1,1,5,1,2,5,3,3,1,2,5,1,1,4,5,1,5,2,2,3,5,1,1,5,5,3,4,4,1,1,5,3,1,2,2,5,2,4,1,1,2,2,1,1,5,2,4,5,1,1,2,1,22,7,18,0,0,0,0,1,0,0,0,0,8,8,,0,0,0
235,1,2,Blake,neutral,amused,entertained,,0,,1,2,1,1,2,3,1,1,1,1,1,1,2,4,1,1,1,1,1,1,1,3,angry,frustrated,disappointed,,1,4,1,4,1,1,1,4,1,1,1,1,4,1,4,1,4,3,1,1,1,1,1,4,2,4,1,2,4,1,1,2,4,1,4,1,3,1,4,1,1,4,3,4,2,2,3,3,4,4,2,4,4,3,4,3,3,3,4,4,4,3,3,2,2,3,3,2,2,2,19,5,18,1,0,1,0,0,0,0,0,0,7,8,,0,0,0
237,2,1,Blake,Disappointed,Excluded,Anger,Ultimately my feeling is that of  fear of missing out. And anger for all the people who had let her down.,0,,1,2,1,4,2,2,1,4,2,1,1,1,2,1,4,1,4,3,1,1,1,4,Upset,Disappointed,Deprived,She was disappointed that she missed out on such an important event; and still upset about the sitatuin,1,3,1,5,3,1,1,4,1,1,1,1,3,1,5,3,5,5,2,3,3,1,2,4,4,4,1,3,3,3,3,1,4,2,4,4,3,2,3,3,3,2,4,4,2,2,1,4,4,5,2,4,5,4,5,4,4,4,1,5,4,4,2,3,2,4,2,1,4,1,22,2,18,1,0,0,0,1,0,0,0,0,7,7,,0,0,0
238,1,2,Blake,Annoyance,Pity,Anger,The events that happened to the writer are unfortunate; so those were my natural reactions to it.,0,,1,2,2,4,2,3,3,4,2,1,1,1,2,2,3,1,3,4,1,1,1,5,Fuming,Upset,Disappointed,,1,2,1,5,1,1,5,5,1,1,1,1,2,1,4,2,5,4,1,1,5,1,1,5,2,4,1,2,5,1,1,4,5,1,5,1,2,3,5,1,1,5,4,4,2,3,2,2,4,3,3,3,4,2,3,2,3,3,3,3,3,4,4,2,2,3,3,2,3,2,21,6,18,0,0,0,0,1,0,0,0,0,7,8,Objectivity: tried to relate with friend who didn't fix car; probably had a good reason not to,0,0,0
239,1,1,Blake,intrigued,unsure,neutral, I feel like this because the way she wrote about she felt was less prevalent to the story than the story itself and so the ending felt abrupt and it seemed less genuine in my opinion. ,0,,3,1,1,1,2,3,1,1,3,1,2,1,2,1,1,1,1,2,1,1,1,3,Upset,Shocked,,,1,2,1,2,2,4,1,2,1,1,1,1,2,1,5,3,4,5,1,2,2,1,1,2,4,5,1,2,2,1,2,1,4,2,2,3,4,1,2,2,2,1,4,2,2,3,4,2,4,2,3,2,5,4,4,2,2,3,3,4,3,3,2,2,2,4,2,2,4,1,21,5,18,1,0,0,0,1,0,0,0,0,8,8,,0,0,0
240,1,1,Blake,disappointed,empathy,sad,,0,,2,2,2,1,2,1,1,1,1,1,1,1,4,1,2,1,1,2,1,1,1,4,upset,wishful,down,,2,3,2,2,1,1,1,2,1,1,2,1,4,1,4,3,4,5,1,1,5,2,4,2,3,4,2,2,2,1,3,1,2,2,2,3,3,2,2,1,2,1,2,3,1,1,2,1,3,1,3,2,4,3,2,3,2,2,2,3,3,2,2,1,2,4,3,2,3,1,20,4,18,1,1,0,0,0,0,0,0,0,4,3,Objectivity: Did not put herself in the other person's shoes,0,0,0
243,1,2,Blake,Surprised,Empathetic,Sorry,It is upsetting that a friend of hers lied about a car getting repaired; and she had to miss her best friends bachelorette party. She included many details that made her story seem relatable. Such as her best friend of two years going to a city that they always wanted to go to; and how she couldn't spend a pivotal moment of her life with her. ,0,,2,5,1,3,4,5,1,1,4,1,1,1,5,3,1,1,4,4,1,1,1,4,Furious,Upset,Grudge,The very last sentence indicated that she was really upset about it. Also she included that her friend said that he got his car repaired when she asked; only to refute it by saying that the car broke down. She could have just said that the car broke down. This indicates that she is angry.,1,4,1,5,2,1,5,5,1,1,1,1,5,1,4,3,5,4,4,1,4,1,2,5,3,4,1,3,4,1,1,2,5,1,5,2,2,1,2,4,3,5,4,3,3,5,3,3,5,2,2,5,4,2,4,3,2,2,2,3,2,2,2,4,2,4,4,1,4,2,21,4,18,0,0,0,0,0,1,1,0,0,3,2,,0,0,0
249,2,2,Blake,sadness ,,,Overall; I feel sad for Melissa that she missed her friend's party.  I am also wondering if she has considered any other options she can take to make up for the circumstances that were out of her control.,0,,1,2,1,1,1,2,1,1,3,1,1,1,2,1,3,1,1,3,1,1,1,4,down ,upset ,out of her control ,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,5,1,1,3,1,2,2,4,3,1,2,2,2,4,1,4,1,2,4,3,2,2,3,4,1,3,3,3,3,2,2,3,4,3,2,4,4,3,3,4,3,4,3,3,3,2,4,3,4,3,2,2,3,20,3,18,1,0,0,0,1,0,0,0,0,7,7,Subject was distracted and did not listen to instructions,0,1,0
250,1,1,Blake,Anxiety,Disappointment ,Frustration,,0,,1,1,1,2,3,2,1,2,2,3,1,1,1,1,2,3,4,2,1,1,1,3,Frustration ,Disappointment ,Sadness,,1,1,1,5,5,1,1,5,1,1,1,1,1,1,3,2,5,5,4,5,5,1,4,4,4,4,1,4,4,2,2,1,5,3,4,4,4,3,5,3,4,2,3,2,4,4,3,2,3,2,3,1,5,5,2,3,2,2,5,4,1,NA,3,5,2,5,5,1,3,1,21,5,18,1,0,0,0,1,0,0,0,0,7,8,,0,0,0
252,1,2,Blake,Disinterest,,,,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,Angry,Sad,,,1,2,1,4,1,1,3,4,1,1,1,1,2,1,4,1,4,4,2,1,2,1,1,4,2,4,1,3,4,1,1,1,5,1,5,1,3,1,5,1,1,4,3,3,3,3,2,2,3,2,3,2,3,1,3,2,2,2,2,3,3,2,4,2,2,3,3,2,3,2,20,4,18,0,0,0,0,1,0,0,0,0,2,2,,0,0,0
301,1,2,Jacob,Bland,Sympathy,Entertained,,0,,1,2,2,1,1,1,1,1,2,1,1,1,1,4,1,1,2,1,1,1,1,3,Anger,Depressed,Sad,,1,2,1,4,2,1,3,3,1,1,1,1,3,1,2,3,3,4,2,1,3,1,2,5,2,3,1,5,4,1,1,4,5,1,1,1,2,2,5,1,1,5,2,5,1,5,2,1,5,3,3,5,3,2,NA,2,1,2,4,4,2,1,4,1,1,4,1,1,1,2,20,4,18,0,0,0,0,1,0,0,0,0,7,2,Participant believed the study's purpose was to measure attachment. / Correctly discussed the content of the letter and reading instructions. / Participant said they were able to follow the instructions well. / Nothing more to report.,0,0,0
