StartDate,EndDate,SubjectID,pt_cond,emot_cond,exper,mainfeel1,mainfeel2,mainfeel3,mainfeelexpl,happy,shocked,hope,angry,comp,interest,disgust,mad,curious,afraid,grateful,proud,surprise,amused,down,worried,frust,sad,embarrass,guilty,selfanger,symp,mfeel1,mfeel2,mfeel3,mfeelexpl,mhappy,mshock,mhope,mangry,mselfanger,minterest,mdisgust,mmad,mcurious,mafraid,mgrateful,mproud,msurprise,mamused,mdown,mworried,mfrust,msad,membarrass,mguilty,pleas,selfag,targag,otherag,sitag,mixag,selfpow,targpow,othpow,noonepow,sitcont,immoral,m_pleas,m_selfag,m_otherag,m_sitag,m_mixag,m_selfpow,m_otherpow,m_noonepow,m_sitpow,m_immoral,iri_1,iri_2,iri_3,iri_4,iri_5,iri_6,iri_10,iri_11,iri_15,iri_29,iri_30,iri_32,iri_33,iri_34,iri2_19,iri2_22,iri2_23,iri2_24,iri2_25,iri2_28,iri2_35,iri2_36,iri2_37,iri2_38,iri2_39,iri2_40,iri2_41,iri2_42,ssc,ideol,age,gender,female,black,asian,latino,white,other_race,mideast,natam,pacisl,mom_ed,dad_ed,expcomment,PI_note,suspicious,concussion,blameotherpersonproblem,language,inattention,openendedproblem,experimentererror
11/12/14 15:07,11/12/14 15:46,405,1,1,Sophie,Sad,,,I tried to be detached but I have a best friend too and I kept imagining myself in the same situation -- that I might have to miss her bachelorette party... I'd feel really really awful too. And the fact that she cried for a few days; I can really feel her.,1,2,1,1,3,1,1,2,1,1,1,1,1,1,2,1,2,2,1,1,1,5,Sadness,,,The event happened quite a few days back but she is still tearing up thinking abou it.,1,1,1,2,2,1,1,2,1,1,1,1,1,1,5,2,4,5,1,1,5,1,1,2,5,4,1,2,4,1,2,1,5,1,1,4,4,1,1,5,5,1,4,4,4,4,4,5,5,3,4,5,5,5,4,4,3,3,1,5,4,2,5,1,2,1,1,1,3,4,20,4,20,female,1,0,1,0,0,0,0,0,0,7,8,Subject suspected that all participants received the same letter.  She also said that she was unable to remain detached and found herself sympathizing with Melissa.,Experimenter clarified that subject did not suspect deception until after it was revealed during debriefing,1,0,0,0,0,0,0
1/30/15 11:53,1/30/15 12:24,619,1,2,Brooklyn,Anger,Disgust,Frustration,,1,3,1,4,3,2,4,4,1,2,2,1,3,1,2,1,4,1,1,1,1,3,Upset,Angry,Surprised,,1,4,1,5,2,1,4,5,1,1,1,1,4,1,4,1,5,3,3,1,2,1,2,5,1,2,2,5,2,1,1,3,4,2,5,1,1,1,5,1,1,5,4,2,3,4,2,2,4,2,3,2,4,4,2,2,2,3,4,4,2,3,3,4,3,4,4,2,4,1,20,3,19,male,0,0,0,0,1,0,0,0,0,8,7,Subject suspected that the letter was not written by a past participant although they do not believe this suspicion affected what they said in the questionnaire. ,Experimenter clarified that subject did not suspect deception until after it was revealed during debriefing,0,0,0,0,0,0,0
11/17/14 16:38,11/17/14 17:02,208,1,2,Blake,Apathetic,Suspicious,Doubtful,I was instructed to remain objective while reading the letter so the letter did not truly elicit any feelings from me. I'm a little suspicious because I have the feeling that the letter I was given was planned in order to get a specific response from me.,1,2,1,1,2,2,1,1,2,1,1,1,2,2,1,1,2,1,1,1,1,2,Anger,Frustration,Disappointment,The writer is upset because one of her friends lied to her and as a result she missed a once in a lifetime experience.,1,3,1,5,1,1,4,5,1,1,1,1,4,1,4,1,5,5,1,1,2,1,3,5,2,4,1,4,5,1,1,3,5,3,5,1,2,3,5,1,1,5,4,5,3,3,1,2,2,2,2,3,2,4,3,3,3,2,3,3,4,1,4,1,2,3,2,2,2,1,20,4,19,Male,0,0,1,0,0,0,0,0,0,7,7,"Survey questions assume a bad event happened even though Melissa's letter is ""randomly selected""; Subject was the second to notice that the questionnaire somehow knew the ""randomly selected"" letter was geared toward a negative event",,1,0,0,0,0,0,0
2/4/15 11:22,2/4/15 11:49,531,2,2,Xinhao,sympathy,confused,interested,I feel really bad that Melissa had to miss her best friend's bachlorette party that she herself planned. I am confused as to why her friend lied about getting the car fixed; it just doesn't make sense to me. I am also interested in the reason why he lied about the car. What could have possibly motivated him to tell her that her ride was all set when it really wasn't? ,1,3,1,2,3,5,2,2,4,1,1,1,4,4,2,1,2,1,1,2,1,4,angry,sad,disappointed,She is mad at her friend for lying about the car. She is sad that she missed the bachlorette party; and she is disappointed in her friend for lying to her. ,1,2,1,5,2,1,5,5,1,1,1,1,3,1,5,1,5,5,2,1,4,1,2,4,1,3,1,4,4,1,1,3,5,1,5,1,1,2,4,1,1,4,3,4,4,3,4,5,4,4,2,4,3,2,2,1,4,2,3,1,2,2,5,2,2,2,2,3,4,4,21,3,18,female,1,0,0,0,1,0,0,0,0,7,7,The participant kind of figured out the letter was not written by another participant.,,1,0,0,0,0,0,0
1/22/15 14:00,1/22/15 15:02,509,1,2,Xinhao,Introspective,,,I'm still thinking about the letter I wrote somewhat. But also; I'm thinking about how I would have reacted to the other participant's situation/empathizing with her,1,1,1,1,1,2,1,1,2,1,1,1,1,3,1,1,1,1,1,1,1,3,Frustrated,Angry,Disappointed,Her one friend lied to her and also didn't follow through for her; and it resulted in her missing a really important milestone in her other best friend's life,1,1,1,4,1,1,1,4,1,1,1,1,3,1,4,3,5,3,1,1,2,1,2,4,1,3,1,3,4,1,1,3,4,2,4,1,3,2,4,1,1,3,4,4,1,3,4,4,4,2,3,3,5,4,4,3,3,3,4,5,2,3,2,2,2,4,4,2,4,2,22,5,20,Female,1,0,0,0,1,0,0,0,0,8,3,The participant said she had trouble answering the first question in the questionnaire because she was still thinking of her own letter. Also; she said the letter was a little suspicious because the handwriting is very legible. ,,1,0,0,0,0,0,0
1/22/15 14:39,1/22/15 15:43,510,2,2,Xinhao,angry,hopeful,sad,This participant seemed to have been excited about the bachelorette party; but she couldn't because of someone else's mistake,1,5,4,4,3,4,4,4,5,1,1,1,2,5,5,4,4,5,4,3,4,5,upset,down,angry,She did say that she was upset that her friend basically let her down by preventing her from going to an event that is life-changing for her best friend,1,5,4,5,2,4,4,5,2,4,1,1,5,3,5,4,5,5,1,1,4,1,1,4,4,4,1,2,4,2,4,2,5,1,1,3,2,1,5,1,2,4,5,4,4,4,2,5,5,5,2,3,2,2,5,3,5,2,4,2,4,3,4,2,1,1,2,4,3,3,22,6,18,female,1,0,1,0,0,0,0,0,0,7,8,The participant said that she wrote a letter to a future participant of her own band; and she guessed that the letter that I gave her was not written by another participant; it was written by the researcher. ,,1,0,0,0,0,0,0
1/21/15 8:50,1/21/15 9:33,501,1,1,Xinhao ,frustrated,sad,sympathetic,I am sad for her situation. Missing your best friends bachelorette party would stink. Frustrated for her reliance on her friend to take her because it did not work out. Sympathetic because things like this inevitably happen to many people and life is hard. ,2,1,3,1,5,4,1,1,3,1,4,1,3,3,2,2,4,4,1,1,1,5,Regret,Frustration,Despondent ,Regretful that this is a once in a life time chance that she missed. Frustration because the situation was avoidable. Despondent because it is still fresh in her mind and it brings up a lot of sadness and other emotions when she thinks about it. ,2,4,2,3,3,1,1,3,1,2,2,1,3,1,3,3,4,5,2,4,5,1,2,3,5,5,2,3,4,5,5,2,4,5,3,3,5,5,3,5,5,4,4,5,1,3,5,2,4,4,1,1,4,2,5,1,1,5,5,4,4,5,2,4,2,4,4,2,4,4,20,3,21,male,0,0,1,0,0,0,0,0,0,7,8,The participant suspected that the letter was not real; it could be written by the researcher. ,,1,0,0,0,0,0,0
1/29/15 13:47,1/29/15 14:31,524,2,2,Xinhao,angry,regretful,,I feel like; even though it was not directly my fault that I could not go; I am still somewhat to blame because it was my decision to put my faith in my friend who's car broke down.,1,3,2,5,3,1,4,5,1,4,1,1,4,1,4,4,4,4,4,4,5,3,angry,regretful,mistrusting ,She is angry that she could not go and feels let down by her friend who's car broke down.,1,4,1,5,4,1,4,5,1,4,1,1,4,1,5,4,4,5,4,4,5,1,3,5,2,3,3,4,5,1,1,3,5,2,5,2,2,2,5,1,1,5,5,4,2,4,4,2,3,4,3,3,4,3,5,2,2,5,4,5,4,5,1,5,3,4,4,2,4,2,21,5,23,male,0,0,0,0,1,0,0,0,0,7,8,The participant was talkative and it was hard for him to calm down. He suspected that all the questions were lined up pretty well with the letter and thought that maybe the letter was not written by another participant. ,,1,0,0,0,0,0,0
1/30/15 10:17,1/30/15 11:18,616,1,2,Brooklyn,Disappointed,Interested,Sentimental,,1,2,1,1,1,4,1,2,2,1,1,1,3,1,1,1,3,2,1,1,2,4,Angry,Disappointed,Frustrated,,1,2,1,5,1,1,3,4,1,1,1,1,2,1,3,2,5,4,1,2,2,1,1,4,2,4,1,2,5,1,1,4,4,1,4,1,3,1,5,1,1,5,4,3,2,2,2,2,3,3,2,2,3,1,3,3,3,2,3,4,3,2,2,4,2,3,3,1,3,1,19,6,18,Male,0,0,0,0,1,0,0,0,0,8,8,The subject remained objective by reading the letter quickly and not thinking about Melissa's emotions. /  / Subject knew that the letter was not written by a past participant; he realized this when the questionnaire was asking him on a scale of one to five; rank his emotion.  He believed the questionnaire matched what happened in the letter too much; especially because that was not the type of letter that he wrote.,Experimenter clarified that subject did not suspect deception until after it was revealed during debriefing,1,0,0,0,0,0,0
11/20/14 11:50,11/20/14 12:22,313,1,1,Jacob,Sad,Frustrated,Sympathetic,This person ended up missing her best friend's bachelorette party because of a friend's car trouble. Putting myself in that situation; I know how frustrated and upset I would be; not able to get to the party and being completely helpless to do anything about it.,1,2,1,2,4,5,1,3,5,1,1,1,3,1,3,3,5,4,1,1,1,5,Depressed,Upset,Frustrated,,1,3,1,4,2,1,1,4,1,2,1,1,4,1,5,4,5,5,2,2,4,1,3,3,5,4,1,3,3,4,4,1,5,4,5,4,5,3,3,4,4,2,4,4,2,2,4,5,5,5,1,3,5,2,4,2,4,4,5,5,3,3,5,2,2,5,2,2,4,2,22,3,19,Male,0,0,0,0,1,0,0,0,0,7,8,Thought it was difficult to remain object. Easy to get caught up in the other person's emotions. / Suspected something was a little odd when the participant realized that their letter wouldn't suit the questions in the questionnaire.,,1,0,0,0,0,0,0
1/26/15 11:58,1/26/15 12:39,241,2,1,Blake,Regret,Sadness,Frustration,I would feel regretful that I decided to go with another friend who was having car troubles before; and that even though they were being nice and letting me go with them to NYC; I would be regretful of my decision to go with them on this trip. I would be sad I missed my best friends party that both of us had been looking forward to for such a long time - especially because it is in NYC. I would be frustrated in the end because of all of this and the way it worked out. ,1,1,1,4,1,1,1,4,1,1,1,1,1,1,3,2,2,3,3,2,3,1,Sadness,Frustration,Anger,I think they would feel these due to similar reasons described in my prior responses. Maybe not regretful; but probably angry with their choices to not fly to NYC or drive their them self. ,1,2,1,4,4,1,2,4,1,1,1,1,1,1,4,3,4,3,3,2,2,1,1,5,2,3,1,2,5,1,2,1,4,2,3,3,2,2,3,1,1,1,3,4,2,3,1,2,5,4,1,3,4,3,4,5,3,4,3,4,2,4,2,1,1,5,1,1,1,1,21,4,19,Male,0,0,0,0,1,0,0,0,0,7,2,Thought the Melissa letter was fake,,1,0,0,0,0,0,0
3/17/15 14:14,3/17/15 14:47,1408,0,1,Sophie,solemn,intrigued,deflated,,1,1,1,1,3,3,1,1,3,1,1,1,2,2,1,1,1,1,1,1,1,3,dissappointed,upset,sad,,1,4,1,3,1,4,1,4,3,1,1,1,4,1,4,1,4,3,1,1,3,1,1,4,1,2,1,1,2,1,2,2,4,4,3,3,2,2,2,2,4,3,3,3,3,3,3,2,4,4,3,4,4,3,4,3,2,4,4,4,4,4,3,3,2,5,4,2,4,4,22,4,19,Male,0,0,0,0,1,0,0,0,0,3,3,After I debriefed him; subject said he thought it was odd that a young person would have a friend getting married.,,0,0,0,0,0,0,0
3/30/15 13:23,3/30/15 14:40,1423,0,2,Sophie,empathetic ,surprised,interested,The writer's story was about how her plan for a trip to NYC fell through and she came across some very unfortunate circumstances. ,1,2,1,1,2,3,1,1,3,1,2,1,4,2,2,1,1,2,1,1,1,4,anger,sadness,regret,,1,4,1,4,3,1,2,4,1,1,1,1,5,1,5,2,5,5,2,2,,1,2,5,1,2,1,2,5,1,1,3,4,2,5,2,2,3,5,1,1,3,5,4,1,2,4,1,5,3,2,1,4,3,5,2,2,4,4,3,4,4,4,5,1,4,5,1,4,2,21,3,19,male,0,0,0,0,1,0,0,0,0,7,7,After I explained that a previous participant hadn't written the letter; subject said that the questions seemed too tailored to the letter he read.  No mention of any suspicion beforehand.,,0,0,0,0,0,0,0
3/16/15 13:03,3/16/15 13:42,1405,0,1,Sophie,depressed,sad,heart broken,Melissa's letter was kind of a shock. I wasnt really expecting it especially after I wrote my letter which was pretty bland; but her letter was really sad.,1,4,1,1,4,3,1,1,3,1,2,1,4,1,5,1,2,5,2,1,1,3,sad,disappointed,emotional,,2,5,3,5,3,1,3,5,1,1,1,1,3,1,5,3,5,5,4,2,4,4,2,5,3,5,2,3,3,3,2,1,5,5,5,4,4,5,4,3,3,2,5,4,2,2,5,4,4,5,2,1,5,4,5,3,5,5,3,5,5,5,5,5,2,2,5,5,5,3,16,4,18,male,0,0,1,0,0,0,0,0,0,3,7,After the debrief; subject asked if the story really happened and seemed relieved when I told him it was made-up.,,0,0,0,0,0,0,0
2/5/15 13:59,2/5/15 14:56,535,2,2,Xinhao,Feel very bad for Melissa; bad becasue if I were her I would feel like I let my best friend down  ,anger towards the boy that lied about his car,Sad for the bachelorette because her made of honor missed her party,Putting myself in her shoes; I would feel so down on myself and guilty for missing the party. Although it wasn't her fault she missed an important event in someones life that sh is a big part of.,1,4,2,4,5,4,4,4,4,1,1,1,4,1,4,4,5,1,1,1,1,5,upset,disapointed,guilty,Shes disapointed and upset at her friend for lying about the car. She feels guilty and upset for missing the party and not being their to support her best friend.,1,4,2,5,5,1,4,5,2,3,2,2,4,1,5,5,5,5,3,5,4,1,4,5,3,4,1,4,5,1,2,3,5,4,4,3,4,5,4,3,2,4,5,4,2,1,5,4,5,5,1,4,3,2,3,1,4,2,4,3,2,3,1,4,1,3,5,4,4,2,19,4,19,female,1,0,0,0,1,0,0,0,0,7,8,After the debriefing part; the participant still asked about whether the letter is real. ,,0,0,0,0,0,0,0
11/19/14 10:56,11/19/14 11:32,109,1,1,tia,empathy,sadness,,I felt sadness and empathy for the girl; Melissa; who wrote the letter because she described a sad event where she was unable to visit her best friend for her bachelorette party and how she cried because of this. That made me feel sad for her. ,1,1,2,1,3,2,1,1,1,1,1,1,1,1,3,2,2,3,1,1,1,4,sadness,remorse,happiness ,There is some happiness in Melissa's letter; when she describes that her best friend is getting married and how she was excited to be the maid of honor. The rest of the letter has feelings of sadness and remorse as Melissa recalls the series of unfortunate events that caused her to be unable to attend her friend's bachelorettte party and how this made her extremely sad.,2,2,1,3,4,3,1,4,1,3,2,1,2,1,4,4,4,5,2,3,3,1,1,1,4,3,1,2,2,1,2,1,5,3,2,3,4,1,3,2,2,1,4,3,2,3,4,3,3,3,3,2,3,2,4,1,4,3,3,3,4,3,3,2,3,3,3,2,4,2,20,3,20,Male,0,0,0,0,1,0,0,0,0,7,8,assumed that the research was studying empathy. said was able to remain objective; but was hard at the end of the letter when Melissa was talking about how sad she was; hard to not feel bad for her. the subject tried to remain objective by imagining they were reading an excerpt from a novel; to not get caught up in the emotions.,,0,0,0,0,0,0,0
1/22/15 14:21,1/22/15 15:50,449,1,2,Sophie,disappointment for the writer,empathic,curious,I can relate to the story - looking forward to an experience that means a lot; depending on someone else to assist with making the plans happening; and then being let down because someone I trusted didn't keep their end of the deal.  I'm also wondering if Melissa is still friends with the person who let her down.,1,1,1,1,3,3,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,4,disappointment,anger,sorrow,She missed an opportunity to be at her best friends's bachelorette party; thought she had a reliable friend and plan for transportation to NYC but then was let down and felt betrayed by someone who promised to have their car checked out and failed to do so. She blamed her friend with the bum car; but it seems that she had an inkling this might not work and she was probably angry at herself just a bit.,1,1,3,4,2,1,2,4,1,1,1,1,2,1,4,2,4,2,2,1,2,1,2,4,1,3,1,3,3,3,1,1,4,2,4,1,2,2,4,1,1,4,2,5,1,1,3,4,4,2,2,3,5,3,5,1,2,4,5,4,5,3,2,3,1,4,4,2,3,2,20,5,64,female,1,0,0,0,0,1,1,0,0,2,3,Conditions were marked as objective and sad; but were really objective and ANGRY.,,0,0,0,0,0,0,0
11/19/15 16:22,11/19/15 16:49,2204,2,1,Alina,sad,confused,annoyed ,,1,2,1,3,3,2,2,1,4,1,1,1,2,2,2,2,2,4,1,1,1,5,sadness,excitement,worried,,1,2,1,2,3,1,2,2,2,1,1,1,2,1,5,2,4,5,2,2,1,1,3,5,4,5,1,3,5,1,1,1,3,3,5,5,2,2,1,4,4,1,5,3,3,3,4,3,5,4,3,1,3,4,3,1,4,3,4,4,5,2,3,4,2,4,5,2,3,3,20,3,18,male,0,0,0,0,1,0,0,0,0,2,2,Currently has a concussion; received one earlier this week. Has had a lot of previous concussions as well. ,,0,1,0,0,0,0,0
11/25/14 12:20,11/25/14 12:54,117,1,2,tia,Indifferent,Content ,Relaxed,I feel the same way that I did walking in to this expirement. ,2,1,1,1,3,1,1,1,2,1,1,1,1,3,1,2,1,1,1,1,1,4,Anger,Dissapointment,Sadness,,1,4,1,5,1,1,3,5,1,1,1,1,1,1,3,1,5,3,1,1,3,1,1,5,1,2,1,2,5,2,2,4,5,1,5,4,1,1,5,1,1,5,4,4,4,2,3,3,4,4,2,2,3,2,4,2,3,4,4,4,4,3,4,3,1,3,4,2,4,3,21,6,18,Male,0,0,0,0,1,0,1,0,0,7,8,didn't remember the letter very well; said that it was about someone going to a wedding. didn't think they were able to remain objective very well; tried by just reading word for word and not thinking about it too much. ,,0,0,0,0,0,0,0
1/22/15 13:12,1/22/15 14:17,508,1,1,Xinhao,sad,concerned,curious,Sad for her that she missed her friend's party. Concerned on how their relationship might have been affected. Curious about the relationship between the guy and her is at the moment.,1,1,1,1,3,3,1,1,5,1,1,1,1,1,1,3,3,5,1,1,1,4,anger,sadness,disappointment,She is definitely angry; sad; and disappointed that she missed her friend's bachelorette party and maybe at the guy whose car broke down.,1,3,1,5,1,1,3,5,1,3,1,1,3,1,5,5,5,5,1,1,5,1,1,5,3,3,1,3,5,3,3,4,3,1,5,3,5,1,5,3,3,5,5,5,1,1,3,3,5,1,2,2,5,2,4,5,2,4,4,4,5,4,4,2,1,4,1,1,1,1,19,5,20,male,0,0,1,0,0,0,0,0,0,7,8,During debriefing; the participant was confused about why the questionnaire asked about the social economic status of his family and his parents' education; and he did not find anything else odd in the study. ,,0,0,0,0,0,0,0
